departement,section_naf,section_libelle,code_idcc,nb_entreprises
01,A,"Agriculture, sylviculture et pêche",7024,620
01,A,"Agriculture, sylviculture et pêche",9011,112
01,A,"Agriculture, sylviculture et pêche",7025,43
01,A,"Agriculture, sylviculture et pêche",9999,30
01,A,"Agriculture, sylviculture et pêche",7026,29
01,A,"Agriculture, sylviculture et pêche",8822,8
01,B,Industries extractives,3249,5
01,C,Industrie manufacturière,3248,529
01,C,Industrie manufacturière,0843,209
01,C,Industrie manufacturière,0292,206
01,C,Industrie manufacturière,9999,105
01,C,Industrie manufacturière,0184,39
01,C,Industrie manufacturière,0158,33
01,C,Industrie manufacturière,0044,28
01,C,Industrie manufacturière,1411,28
01,C,Industrie manufacturière,1267,24
01,C,Industrie manufacturière,1412,21
01,C,Industrie manufacturière,0993,21
01,C,Industrie manufacturière,3109,19
01,C,Industrie manufacturière,0018,19
01,C,Industrie manufacturière,1596,19
01,C,Industrie manufacturière,0804,17
01,C,Industrie manufacturière,1404,17
01,C,Industrie manufacturière,0914,16
01,C,Industrie manufacturière,2609,16
01,C,Industrie manufacturière,2420,15
01,C,Industrie manufacturière,0953,15
01,C,Industrie manufacturière,0573,13
01,C,Industrie manufacturière,3249,12
01,C,Industrie manufacturière,8822,11
01,C,Industrie manufacturière,1534,10
01,C,Industrie manufacturière,1597,9
01,C,Industrie manufacturière,1513,9
01,C,Industrie manufacturière,1286,9
01,C,Industrie manufacturière,1930,8
01,C,Industrie manufacturière,0489,8
01,C,Industrie manufacturière,0650,8
01,C,Industrie manufacturière,1396,7
01,C,Industrie manufacturière,1486,7
01,C,Industrie manufacturière,7024,7
01,C,Industrie manufacturière,3238,6
01,C,Industrie manufacturière,1090,6
01,C,Industrie manufacturière,3251,6
01,C,Industrie manufacturière,7004,6
01,C,Industrie manufacturière,3222,6
01,C,Industrie manufacturière,0045,5
01,C,Industrie manufacturière,3255,5
01,C,Industrie manufacturière,1938,5
01,D,"Production et distribution d'électricité, de gaz, de vapeur",9999,6
01,E,"Production et distribution d'eau ; assainissement, déchets",0637,18
01,E,"Production et distribution d'eau ; assainissement, déchets",2149,11
01,E,"Production et distribution d'eau ; assainissement, déchets",2272,10
01,E,"Production et distribution d'eau ; assainissement, déchets",5021,8
01,F,Construction,1596,1428
01,F,Construction,2609,857
01,F,Construction,2420,695
01,F,Construction,9999,174
01,F,Construction,1597,147
01,F,Construction,1702,107
01,F,Construction,2614,81
01,F,Construction,3212,62
01,F,Construction,3248,44
01,F,Construction,1512,19
01,F,Construction,0804,10
01,F,Construction,1412,9
01,F,Construction,0998,7
01,F,Construction,9998,7
01,F,Construction,1527,5
01,F,Construction,1049,5
01,F,Construction,1404,5
01,F,Construction,1486,5
01,G,Commerce ; réparation d'automobiles et de motocycles,1090,643
